,url,type
794,thepeoplescube.com,unknown
795,ThePeoplesVoice.net,unknown
796,thephaser.com,conspiracy
797,thepoke.co.uk,satire
798,thepoliticalcesspool.com,unknown
799,thepoliticalinsider.com,conspiracy
800,thepostemail.com,unknown
802,therealstrategy.com,bias
803,therebel.media,unknown
805,therightists.com,satire
806,therightplanet.com,unknown
808,therightstuff.biz,hate
809,therundownlive.com,unknown
810,therussophile.org,unknown
811,thesaker.is,unknown
812,theseattletribune.com,satire
813,theshovel.com.au,satire
814,theskunk.org,satire
815,thesleuthjournal.com,unknown
816,thespoof.com,satire
817,thestatelyharold.com,satire
818,thetimesoftheworld.com,satire
820,thetruthaboutcancer.com,junksci
823,TheTruthWins.com,junksci
824,theunrealtimes.com,satire
826,theuspatriot.com,satire
827,thevalleyreport.com,satire
828,TheVictoryReport.org,unknown
830,thewatchtowers.com,bias
831,TheWealthWatchman.com,unknown
832,theworldstyle.com,unknown
833,thinkprogress.org,political
834,thirdworldtraveler.com,unknown
835,thisismynewworld.com,unknown
837,thrivemovement.com,unknown
840,TomWoods.com,political
841,topekasnews.com,satire
842,topinfopost.com,clickbait
843,topnewspolitics.com,unknown
844,topratedviral.com,unknown
845,toprightnews.com,unknown
846,totalworldnews.com,unknown
847,traderdan.com,unknown
848,tradewithdave.com,unknown
849,TragedyandHope.com,unknown
850,trendingnewsguide.com,unknown
851,trendingnewstoday.net,unknown
852,tribuneherald.net,unknown
853,tribunist.com,unknown
854,TrueActivist.com,clickbait
856,trueeconomics.blogspot.com,unknown
857,truepundit.com,bias
860,trunews.com,unknown
861,truthandaction.org,bias
862,truthbroadcastnetwork.com,conspiracy
863,truthfeed.com,hate
864,truthfrequencyradio.com,conspiracy
865,truthingold.com,unknown
866,TruthInMedia.com,unknown
867,truthkings.com,bias
868,truthnetwork.com,unknown
869,truthrevolt.org,bias
870,TruthStreamMedia.com,unknown
871,tunerspeed.com,unknown
872,turnerradionetwork.com,unknown
873,twitchy.com,clickbait
874,tyronetribulations.com,unknown
875,ufoholic.com,conspiracy
876,unclesamsmisguidedchildren.com,bias
877,unconfirmedsources.com,satire
878,undergroundhealth.com,unknown
881,unionleader.com,unknown
884,unz.com,bias
885,us.blastingnews.com,satire
904,usapoliticsdaily.com,unknown
906,usapoliticstoday.com,bias
908,usapoliticus.com,unknown
909,usascan.com,unknown
915,USAWatchdog.com,bias
916,uschronicle.com,bias
918,usdefensewatch.com,unreliable
922,usherald.com,bias
924,uslifetoday.com,clickbait
928,usuncut.com,clickbait
929,usviewer.com,unreliable
930,vdare.com,bias
931,veteransnewsnow.com,unreliable
932,veteranstoday.com,bias
936,viraltube.nl,clickbait
938,wakeupthesheep.com,conspiracy
939,wakingtimes.com,junksci
940,wakingupwisconsin.com,conspiracy
941,WallStreetOnParade.com,unreliable
942,washingtonexaminer.com,political
945,washingtonsblog.com,bias
946,waterfordwhispersnews.com,satire
947,wealthcycles.com,unknown
948,wealthwire.com,unknown
949,wearechange.org,bias
950,weaselzippers.us,unreliable
952,weeklystandard.com,political
954,weshapelife.org,conspiracy
955,westernjournalism.com,bias
956,whatdoesitmean.com,conspiracy
957,whatreallyhappened.com,conspiracy
958,whitepower.com,hate
959,whowhatwhy.com,unreliable
960,whowhatwhy.org,conspiracy
961,whydontyoutrythis.com,junksci
962,wideawakeamerica.com,unknown
963,WideAwakeNews.com,unknown
964,wikileaks.com,unreliable
965,wikileaks.org,unreliable
966,wikispooks.com,conspiracy
967,WilliamBanzai7.blogspot.com,satire
968,Willyloman.wordpress.com,conspiracy
969,winkprogress.com,satire
970,winningdemocrats.com,bias
971,witscience.org,satire
972,wnd.com,bias
973,WolfStreet.com,unreliable
974,wonkie.com,satire
975,world24monitor.com,unknown
976,worldcallyoutoday.com,unknown
977,worlddaily.info,unknown
978,worldnewsdailyreport.com,satire
979,worldnewspolitics.com,bias
984,worldtruth.tv,conspiracy
985,worldwidehealthy.com,junksci
987,wundergroundmusic.com,satire
988,www.rt.com,state
989,X22Report.com,conspiracy
990,yellowhammernews.com,political
992,Youngcons.com,bias
994,yournationnews.com,clickbait
995,YourNewsline.wordpress.com,unknown
996,yournewswire.com,clickbait
997,zaytung.com,unknown
998,Zengardner.com,unknown
999,zerohedge.com,conspiracy
1000,zootfeed.com,conspiracy
