,url,2nd_type
773,thelastlineofdefense.org,
774,thelibertybeacon.com,junksci
775,thelibertymill.com,bias
776,themadisonmisnomer.com,
777,themideastbeast.com,
778,themindunleashed.com,junksci
779,themindunleashed.org,junksci
780,themoralofthestory.us,
781,themuslimissue.wordpress.com,conspiracy
782,thenet24h.com,
783,thenewamerican.com,
784,thenewinquiry.com,
785,thenewsdoctors.com,
786,TheNewsFile.com,
787,thenewsnerd.com,
788,thenewyorkevening.com,
789,theonion.com,
790,theopenscroll.blogspot.com,
791,theorganicprepper.ca,
792,TheOutsiderClub.com,
793,theoxymoron.co.uk,
794,thepeoplescube.com,
795,ThePeoplesVoice.net,
796,thephaser.com,
797,thepoke.co.uk,
798,thepoliticalcesspool.com,hate
799,thepoliticalinsider.com,bias
800,thepostemail.com,
801,theracketreport.com,satire
802,therealstrategy.com,conspiracy
803,therebel.media,
804,thereporterz.com,
805,therightists.com, 
806,therightplanet.com,
807,therightscoop.com,clickbait
808,therightstuff.biz,
809,therundownlive.com,
810,therussophile.org,
811,thesaker.is,
812,theseattletribune.com,
813,theshovel.com.au,
814,theskunk.org,
815,thesleuthjournal.com,
816,thespoof.com,
817,thestatelyharold.com,
818,thetimesoftheworld.com,
819,thetrumpmedia.com,
820,thetruthaboutcancer.com,
821,thetruthdivision.com,bias
822,thetruthseeker.co.uk,conspiracy
823,TheTruthWins.com,conspiracy
824,theunrealtimes.com,
825,theusa-news.com,
827,thevalleyreport.com,
828,TheVictoryReport.org,
829,thewashingtonpress.com,
830,thewatchtowers.com,conspiracy
831,TheWealthWatchman.com,
832,theworldstyle.com,
833,thinkprogress.org,
834,thirdworldtraveler.com,
835,thisismynewworld.com,
836,threepercenternation.com,conspiracy
837,thrivemovement.com,
838,times.com.mx,
839,tmzworldnews.com,
840,TomWoods.com,unreliable
841,topekasnews.com,
842,topinfopost.com,unreliable
843,topnewspolitics.com,
844,topratedviral.com,
845,toprightnews.com,
846,totalworldnews.com,
847,traderdan.com,
848,tradewithdave.com,
849,TragedyandHope.com,
850,trendingnewsguide.com,
851,trendingnewstoday.net,
852,tribuneherald.net,
853,tribunist.com,
854,TrueActivist.com,unreliable
855,trueamericans.me,
856,trueeconomics.blogspot.com,
857,truepundit.com,clickbait
858,truetrumpers.com,
859,trumpvision365.com,
860,trunews.com,
861,truthandaction.org,conspiracy
862,truthbroadcastnetwork.com,clickbait
863,truthfeed.com,bias
864,truthfrequencyradio.com, 
865,truthingold.com,
866,TruthInMedia.com,
867,truthkings.com,conspiracy
868,truthnetwork.com,
869,truthrevolt.org,hate
870,TruthStreamMedia.com,
871,tunerspeed.com,
872,turnerradionetwork.com,
873,twitchy.com,rumor
874,tyronetribulations.com,
875,ufoholic.com,
876,unclesamsmisguidedchildren.com,
877,unconfirmedsources.com,
878,undergroundhealth.com,
879,undergroundnewsreport.com,
880,undergroundworldnews.com,conspiracy
881,unionleader.com,
882,unitedmediapublishing.com,
883,universepolitics.com,
884,unz.com,
885,us.blastingnews.com,unreliable
886,usa-radio.com,
887,usa-television.com,
888,usa2016elections.com,
889,usadailyinfo.com,
890,usadailypolitics.com,
891,usadailytime.com,
892,usadosenews.com,
893,usafirstinformation.com,
894,usahitman.com,conspiracy
895,usainfobox.com,
896,usamagazinestudio.com,
897,usanewsflash.com,bias
898,usanewsinsider.com,bias
899,usanewspolitics.com,
900,usanewstoday.com,
901,usaonlinepolitics.com,clickbait
902,usaphase.com,bias
903,usapolitics24hrs.com,
904,usapoliticsdaily.com,
905,usapoliticsnow.com,bias
906,usapoliticstoday.com,unreliable
907,usapoliticszone.com,
908,usapoliticus.com,
909,usascan.com,
910,usasnich.com,
911,usasupreme.com, 
912,usatoday.com.co,
913,usatodaynews.me,
914,usatwentyfour.com,
915,USAWatchdog.com,
916,uschronicle.com,conspiracy
917,usconservativetoday.com,
918,usdefensewatch.com,
919,usfanzone.com,bias
920,ushealthyadvisor.com,conspiracy
921,ushealthylife.com,
922,usherald.com,conspiracy
923,usinfonews.com,
924,uslifetoday.com,
925,uspoliticslive.com,bias
926,uspoln.com,
927,uspostman.com,
928,usuncut.com,bias
930,vdare.com,hate
931,veteransnewsnow.com,political
932,veteranstoday.com,unreliable
933,vigilantcitizen.com,conspiracy
934,viralactions.com,
935,viralliberty.com,bias
936,viraltube.nl,
937,voxtribune.com,
938,wakeupthesheep.com,
939,wakingtimes.com,
940,wakingupwisconsin.com, 
