,url,3rd_type
804,thereporterz.com,
805,therightists.com,
806,therightplanet.com,
807,therightscoop.com,
808,therightstuff.biz,
809,therundownlive.com,
810,therussophile.org,
811,thesaker.is,
812,theseattletribune.com,
813,theshovel.com.au,
814,theskunk.org,
815,thesleuthjournal.com,
816,thespoof.com,
817,thestatelyharold.com,
818,thetimesoftheworld.com,
819,thetrumpmedia.com,
820,thetruthaboutcancer.com,
821,thetruthdivision.com,
822,thetruthseeker.co.uk,junksci
823,TheTruthWins.com,clickbait
824,theunrealtimes.com,
825,theusa-news.com,
826,theuspatriot.com,
827,thevalleyreport.com,
828,TheVictoryReport.org,
829,thewashingtonpress.com,
830,thewatchtowers.com,clickbait
831,TheWealthWatchman.com,
832,theworldstyle.com,
833,thinkprogress.org,
834,thirdworldtraveler.com,
835,thisismynewworld.com,
836,threepercenternation.com,bias
837,thrivemovement.com,
838,times.com.mx,
839,tmzworldnews.com,
840,TomWoods.com,
841,topekasnews.com,
842,topinfopost.com,conspiracy
843,topnewspolitics.com,
844,topratedviral.com,
845,toprightnews.com,
846,totalworldnews.com,
847,traderdan.com,
848,tradewithdave.com,
849,TragedyandHope.com,
850,trendingnewsguide.com,
851,trendingnewstoday.net,
852,tribuneherald.net,
853,tribunist.com,
854,TrueActivist.com,
855,trueamericans.me,
856,trueeconomics.blogspot.com,
857,truepundit.com,
858,truetrumpers.com,
859,trumpvision365.com,
860,trunews.com,
861,truthandaction.org,clickbait
862,truthbroadcastnetwork.com,
863,truthfeed.com,conspiracy
864,truthfrequencyradio.com,
865,truthingold.com,
866,TruthInMedia.com,
867,truthkings.com,junksci
868,truthnetwork.com,
869,truthrevolt.org,
870,TruthStreamMedia.com,
871,tunerspeed.com,
872,turnerradionetwork.com,
873,twitchy.com,
874,tyronetribulations.com,
875,ufoholic.com,
876,unclesamsmisguidedchildren.com,
877,unconfirmedsources.com,
878,undergroundhealth.com,
879,undergroundnewsreport.com,
880,undergroundworldnews.com,bias
881,unionleader.com,
882,unitedmediapublishing.com,
883,universepolitics.com,
884,unz.com,
885,us.blastingnews.com,
886,usa-radio.com,
887,usa-television.com,
888,usa2016elections.com,
889,usadailyinfo.com,
890,usadailypolitics.com,
891,usadailytime.com,
892,usadosenews.com,
893,usafirstinformation.com,
894,usahitman.com,
895,usainfobox.com,
896,usamagazinestudio.com,
897,usanewsflash.com,clickbait
898,usanewsinsider.com,clickbait
899,usanewspolitics.com,
900,usanewstoday.com,
901,usaonlinepolitics.com,
902,usaphase.com,
903,usapolitics24hrs.com,
904,usapoliticsdaily.com,
905,usapoliticsnow.com,
906,usapoliticstoday.com,
907,usapoliticszone.com,
908,usapoliticus.com,
909,usascan.com,
910,usasnich.com,
911,usasupreme.com,
912,usatoday.com.co,
913,usatodaynews.me,
914,usatwentyfour.com,
915,USAWatchdog.com,
916,uschronicle.com,hate
917,usconservativetoday.com,
918,usdefensewatch.com,
919,usfanzone.com,
920,ushealthyadvisor.com,junksci
921,ushealthylife.com,
923,usinfonews.com,
924,uslifetoday.com,
925,uspoliticslive.com,conspiracy
926,uspoln.com,
927,uspostman.com,
928,usuncut.com,unreliable
929,usviewer.com, 
930,vdare.com,
931,veteransnewsnow.com,
932,veteranstoday.com,
933,vigilantcitizen.com,
934,viralactions.com,
935,viralliberty.com,clickbait
936,viraltube.nl,
937,voxtribune.com,
938,wakeupthesheep.com,
939,wakingtimes.com,
940,wakingupwisconsin.com,
941,WallStreetOnParade.com,
942,washingtonexaminer.com, 
943,washingtonfed.com,
944,washingtonpost.com.co,
945,washingtonsblog.com,satire
946,waterfordwhispersnews.com,
947,wealthcycles.com,
948,wealthwire.com,
949,wearechange.org,
950,weaselzippers.us,
951,webdaily.com,bias
952,weeklystandard.com,
953,weeklyworldnews.com,clickbait
954,weshapelife.org,
955,westernjournalism.com,
956,whatdoesitmean.com,
957,whatreallyhappened.com,
958,whitepower.com,bias
959,whowhatwhy.com,
960,whowhatwhy.org,
961,whydontyoutrythis.com,
962,wideawakeamerica.com,
963,WideAwakeNews.com,
964,wikileaks.com, 
965,wikileaks.org,
966,wikispooks.com,
967,WilliamBanzai7.blogspot.com,
968,Willyloman.wordpress.com,
